<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIG_CHEMIA,D,19910416,000000,100,100,100,100,0,0
WIG_CHEMIA,D,19910423,000000,96.77,96.77,96.77,96.77,0,0
WIG_CHEMIA,D,19910430,000000,94.56,94.56,94.56,94.56,0,0
WIG_CHEMIA,D,19910514,000000,93.96,93.96,93.96,93.96,0,0
WIG_CHEMIA,D,19910521,000000,96.61,96.61,96.61,96.61,0,0
WIG_CHEMIA,D,19910528,000000,95.65,95.65,95.65,95.65,0,0
WIG_CHEMIA,D,19910604,000000,96.94,96.94,96.94,96.94,0,0
WIG_CHEMIA,D,19910611,000000,96.04,96.04,96.04,96.04,0,0
WIG_CHEMIA,D,19910618,000000,86.68,86.68,86.68,86.68,0,0
WIG_CHEMIA,D,19910625,000000,85.02,85.02,85.02,85.02,0,0
WIG_CHEMIA,D,19910702,000000,89.12,89.12,89.12,89.12,0,0
WIG_CHEMIA,D,19910709,000000,86.66,86.66,86.66,86.66,0,0
WIG_CHEMIA,D,19910716,000000,83.44,83.44,83.44,83.44,0,0
WIG_CHEMIA,D,19910723,000000,85.34,85.34,85.34,85.34,0,0
WIG_CHEMIA,D,19910730,000000,82.51,82.51,82.51,82.51,0,0
WIG_CHEMIA,D,19910806,000000,79.42,79.42,79.42,79.42,0,0
WIG_CHEMIA,D,19910813,000000,77.16,77.16,77.16,77.16,0,0
WIG_CHEMIA,D,19910820,000000,75.69,75.69,75.69,75.69,0,0
WIG_CHEMIA,D,19910827,000000,73.97,73.97,73.97,73.97,0,0
WIG_CHEMIA,D,19910903,000000,72.58,72.58,72.58,72.58,0,0
WIG_CHEMIA,D,19910910,000000,71.52,71.52,71.52,71.52,0,0
WIG_CHEMIA,D,19910917,000000,69.28,69.28,69.28,69.28,0,0
WIG_CHEMIA,D,19910924,000000,68,68,68,68,0,0
WIG_CHEMIA,D,19911001,000000,67.85,67.85,67.85,67.85,0,0
WIG_CHEMIA,D,19911008,000000,70.78,70.78,70.78,70.78,0,0
WIG_CHEMIA,D,19911015,000000,77.18,77.18,77.18,77.18,0,0
WIG_CHEMIA,D,19911022,000000,84.44,84.44,84.44,84.44,0,0
